Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
Isabel Schatzschneider & Rosa Shuaibat,,"Workshop-Bericht: God’s Justice and Animal Welfare, Department Islamisch-Religiöse Studien an der Friedrich-Alexander-Universität Erlangen-Nürnberg, 13. & 14. Dezember 2019",,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,130-142,/images/ZRI122020.pdf#page=201,https://mip.pruf.hhu.de/article/view/427/442,https://doi.org/10.24338/mip-2016130-142,,,,,Parteienrecht im Spiegel der Rechtsprechung,,Deutschland
"Viktor Forian-Szabo, Martin Baumgartner & Leonard Soldo",,"Conference Report: Modern Law and Institutional Decay – The Ecology of Institutional Transplants in the Muslim World, University of Vienna, Faculty of Law, February 10 & 11, 2020",,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,142-145,/images/ZRI122020.pdf#page=203,https://mip.pruf.hhu.de/article/view/428/443,https://doi.org/10.24338/mip-2016142-145,,,,,Parteienrecht im Spiegel der Rechtsprechung,,Deutschland
,,Call for Papers,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,145-147,/images/ZRI122020.pdf#page=207,https://mip.pruf.hhu.de/article/view/429/444,https://doi.org/10.24338/mip-2016145-147,,,,,Parteienrecht im Spiegel der Rechtsprechung,,Deutschland
,,Impressum,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,147-151,/images/ZRI122020.pdf#page=211,https://mip.pruf.hhu.de/article/view/430/445,https://doi.org/10.24338/mip-2016147-151,,,,,Parteienrecht im Spiegel der Rechtsprechung,,Deutschland
Peter Scholz,,"Nichtanerkennung einer katarischen Privatscheidung: Anmerkung zu OLG Stuttgart, Beschluss vom 03.05.2019, Az. 3465 E – 519/18",,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,151-157,/images/ZRI112019.pdf#page=7,https://mip.pruf.hhu.de/article/view/431/446,https://doi.org/10.24338/mip-2016151-157,,,,,Parteienrecht im Spiegel der Rechtsprechung,,Deutschland
Peter Scholz,,"Nichtanerkennung einer pakistanischen Adoptionsentscheidung: Anmerkung zu OLG Stuttgart, Beschluss vom 21.01.2019, Az. 17 UF – 25/18",,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,158-159,/images/ZRI112019.pdf#page=11,https://mip.pruf.hhu.de/article/view/432/447,https://doi.org/10.24338/mip-2016158-159,,,,,Rezensionen,,Deutschland
Ahmed Gad Makhlouf,,Tarǧīḥ und maḏhab: Zur Rolle des tarǧīḥ-Verfahrens bei der Entwicklung der traditionellen islamischen Rechtsschulen,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,159-160,/images/ZRI112019.pdf#page=13,https://mip.pruf.hhu.de/article/view/433/448,https://doi.org/10.24338/mip-2016159-160,,,,,Rezensionen,,Deutschland
Batol Kobeissi,,Die Hisbollah und die schiitische Frau – ihre religiösen Rechte und entsprechende politische sowie öffentliche Darstellung,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,160-162,/images/ZRI112019.pdf#page=39,https://mip.pruf.hhu.de/article/view/434/449,https://doi.org/10.24338/mip-2016160-162,,,,,Rezensionen,,Deutschland
Doris Decker,,Die Fatwā-Praxis des schiitischen Großayatollahs Sayyid Muḥammad Ḥusain Faḍlallāh am Beispiel Masturbation,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,162-163,/images/ZRI112019.pdf#page=57,https://mip.pruf.hhu.de/article/view/435/450,https://doi.org/10.24338/mip-2016162-163,,,,,Rezensionen,,Deutschland
Thomas Eich,,"Zur Geschichte zweier ḥadīṯe, die häufig in der Diskussion über FGM zitiert werden",,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,163-165,/images/ZRI112019.pdf#page=79,https://mip.pruf.hhu.de/article/view/436/451,https://doi.org/10.24338/mip-2016163-165,,,,,Rezensionen,,Deutschland
Christian F. Majer,,Die Ṭalāq-Scheidung und das deutsche Recht,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,165-166,/images/ZRI112019.pdf#page=105,https://mip.pruf.hhu.de/article/view/437/452,https://doi.org/10.24338/mip-2016165-166,,,,,Rezensionen,,Deutschland
Elisa Schweitzer,,Zum Straftatbestand der Kindesmisshandlung: Ein Blick auf die Rechtspraxis in Saudi-Arabien,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,166-167,/images/ZRI112019.pdf#page=113,https://mip.pruf.hhu.de/article/view/438/453,https://doi.org/10.24338/mip-2016166-167,,,,,Rezensionen,,Deutschland
Hamit Alp Ünlü,,The Recognition and Enforcement of German Money Judgments in Turkey,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,168-170,/images/ZRI112019.pdf#page=145,https://mip.pruf.hhu.de/article/view/439/454,https://doi.org/10.24338/mip-2016168-170,,,,,Rechtsprechung und Literatur,,Deutschland
M’hamed Hamidouche & Amina Berkane & Ahmed Berkane,,La finance islamique au service de l’économie sociale et solidaire de l’occident,,Zeitschrift für Recht & Islam,ZRI,,,2022-04-13,171-180,/images/ZRI112019.pdf#page=153,https://mip.pruf.hhu.de/article/view/440/455,https://doi.org/10.24338/mip-2016171-180,,,,,Rechtsprechung und Literatur,,Deutschland
Samy Ayoub,,"The Ḥanafī School: History, Transformations, and Future, 3–5 December 2018, Amsterdam",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,187-213,/images/ZRI112019.pdf#page=175,https://mip.pruf.hhu.de/article/view/510/532,https://doi.org/10.24338/mip-2022187-213,,,,,Aufsätze,,Deutschland
Achim-Rüdiger Börner,,"TIF 2019 – Tunisia Investment Forum, 20. und 21. Juni 2019 in Tunis",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,214-231,/images/ZRI112019.pdf#page=187,https://mip.pruf.hhu.de/article/view/511/533,https://doi.org/10.24338/mip-2022214-231,,,,,Aufsätze,,Deutschland
Kilian Bälz,,"Rezension zu Adnan Trakic / John Benson / Pervaiz K Ahmed: Dispute Resolution in Islamic Finance. Alternatives to Litigation?, London / New York: Routledge 2019, 196 + xiii",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,232-258,/images/ZRI112019.pdf#page=191,https://mip.pruf.hhu.de/article/view/512/558,https://doi.org/10.24338/mip-2022232-258,,,,,Aufsätze,,Deutschland
Achim-Rüdiger Börner,,"Rezension zu Naseef Naeem: Der Staat und seine Fundamente in den arabischen Republiken, Berlin: Deutscher Levante-Verlag 2019, 794 S.",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,259-275,/images/ZRI112019.pdf#page=195,https://mip.pruf.hhu.de/article/view/513/535,https://doi.org/10.24338/mip-2022259-275,,,,,Aufsätze,,Deutschland
,,Call for Papers,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,276-292,/images/ZRI112019.pdf#page=201,https://mip.pruf.hhu.de/article/view/514/536,https://doi.org/10.24338/mip-2022276-292,,,,,Aufsätze,,Deutschland
,,Impressum,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,293-310,/images/ZRI112019.pdf#page=205,https://mip.pruf.hhu.de/article/view/515/537,https://doi.org/10.24338/mip-2022293-310,,,,,Aufsätze,,Deutschland
Kilian Bälz,,Kuwait’s Court of Cassation Upholds Arbitration Clause in Distribution Agreement,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,311-321,/images/ZRI102018.pdf#page=7,https://mip.pruf.hhu.de/article/view/516/538,https://doi.org/10.24338/mip-2022311-321,,,,,Kurzbeiträge,,Deutschland
Mehmet Osman Gülyesil,,"Zur Legitimation eines Kopftuchverbots für eine Beamtin in der Kommunalverwaltung. Besprechung von Verwaltungsgericht Kassel, Urteil vom 28.02.2018 – 1K 2514/17.KS",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,322-330,/images/ZRI102018.pdf#page=9,https://mip.pruf.hhu.de/article/view/517/539,https://doi.org/10.24338/mip-2022322-330,,,,,Kurzbeiträge,,Deutschland
Esnaf Begić,,Vom staatsrechtlichen Normativ zum sozialethischen Korrektiv: Die Entwicklung der šarīʾa in Bosnien,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,331-339,/images/ZRI102018.pdf#page=15,https://mip.pruf.hhu.de/article/view/518/540,https://doi.org/10.24338/mip-2022331-339,,,,,Kurzbeiträge,,Deutschland
Katarzyna Brataniec,,Constitutional Reforms in Morocco and Jordan in the Context of the Arab Spring,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,340-347,/images/ZRI102018.pdf#page=35,https://mip.pruf.hhu.de/article/view/519/541,https://doi.org/10.24338/mip-2022340-347,,,,,Kurzbeiträge,,Deutschland
Christoph Zehetgruber,,"Islamisches Strafrecht in Deutschland? – Betrachtungen aus grund-, menschen- und strafrechtlicher Sicht",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,348-359,/images/ZRI102018.pdf#page=51,https://mip.pruf.hhu.de/article/view/520/542,https://doi.org/10.24338/mip-2022348-359,,,,,Rechtsprechung,,Deutschland
Naomi Roth,,"“the gay self ist archipelagic”. Zur Intersektionalität von Nation, Sexualität und Religion in Indonesien und ihrer Wirkung auf homosexuelle Männlichkeiten",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-03,360-364,/images/ZRI102018.pdf#page=63,https://mip.pruf.hhu.de/article/view/521/543,https://doi.org/10.24338/mip-2022360-364,,,,,Rechtsprechung,,Deutschland
Scott Morrison,,Some Characteristics of Money in English and Islamic Law,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,365-368,/images/ZRI102018.pdf#page=73,https://mip.pruf.hhu.de/article/view/523/545,https://doi.org/10.24338/mip-2022365-368,,,,,Aufsätze,,Deutschland
Ruben Kühl,,Modernes Sklaventum? – Die Rechtsstellung des Gastarbeiters in den Golfstaaten,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,369-372,/images/ZRI102018.pdf#page=95,https://mip.pruf.hhu.de/article/view/524/547,https://doi.org/10.24338/mip-2022369-372,,,,,Aufsätze,,Deutschland
Constantin Frank-Fahle,,German Investments in the Member States of the Gulf Cooperation Council and the German Foreign Tax Act,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,373-378,/images/ZRI102018.pdf#page=113,https://mip.pruf.hhu.de/article/view/525/548,https://doi.org/10.24338/mip-2022373-378,,,,,Aufsätze,,Deutschland
Ahmed M. F. Abd-Elsalam,,"Bericht zum V. Symposium des Deutschen Forums für Islamisches Recht: Angewandtes Islamisches Recht – Scharia und Gesellschaft, 22. und 23. September 2017, Zentrum für Islamische Theologie, Westfälische Wilhelms-Universität Münster",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,379-384,/images/ZRI102018.pdf#page=129,https://mip.pruf.hhu.de/article/view/526/549,https://doi.org/10.24338/mip-2022379-384,,,,,Aufsätze,,Deutschland
Ibtisam Sadegh & Julie McBrien,,"Conference Report: Religious Marriages in the Mediterranean, 21-22 March 2018, Malta",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,385-391,/images/ZRI102018.pdf#page=139,https://mip.pruf.hhu.de/article/view/527/550,https://doi.org/10.24338/mip-2022385-391,,,,,Aufsätze,,Deutschland
Serena Tolino,,"Conference Report: IX International Conference of Islamic Legal Studies, 6-9 June 2018, Universities of Helsinki & Tampere, Finland",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,392-398,/images/ZRI102018.pdf#page=149,https://mip.pruf.hhu.de/article/view/528/551,https://doi.org/10.24338/mip-2022392-398,,,,,Aufsätze,,Deutschland
Abdelghafar Salim & Maria G. Nikolova,,"Conference Report: Law, Islam and Anthropology, organized jointly by the Department of Law & Anthropology of the Max Planck Institute for Social Anthropology, the Gesellschaft für Arabisches und Islamisches Recht (GAIR) and the Vereniging tot bestudering van het Recht van de Islam en het Midden Oosten (RIMO), 9-10 November 2018, Halle/Saale",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,399-407,/images/ZRI102018.pdf#page=157,https://mip.pruf.hhu.de/article/view/529/552,https://doi.org/10.24338/mip-2022399-407,,,,,Aufsätze,,Deutschland
Kilian Bälz,,"Rezension zu Carlo Pohlhausen, Unternehmensfinanzierung am Kapitalmarkt in den arabischen Staaten. Eine rechtsvergleichende Analyse von Aktien-, Anleihe- und Hybridemissionen am Beispiel Ägyptens, der Vereinigten Arabischen Emirate, Saudi-Arabiens und Jordaniens, Tübingen 2014",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,408-414,/images/ZRI102018.pdf#page=165,https://mip.pruf.hhu.de/article/view/530/553,https://doi.org/10.24338/mip-2022408-414,,,,,Aufsätze,,Deutschland
Kilian Bälz,,"Rezension zu Andrea Issad: Islamisch inspirierte Testamente, Tübingen 2019",,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,415-420,/images/ZRI102018.pdf#page=167,https://mip.pruf.hhu.de/article/view/531/554,https://doi.org/10.24338/mip-2022415-420,,,,,Aufsätze,,Deutschland
,,Call for Papers,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,421-427,/images/ZRI102018.pdf#page=169,https://mip.pruf.hhu.de/article/view/532/555,https://doi.org/10.24338/mip-2022421-427,,,,,Aufsätze,,Deutschland
,,Impressum,,Zeitschrift für Recht & Islam,ZRI,,,2022-11-22,428-434,/images/ZRI102018.pdf#page=173,https://mip.pruf.hhu.de/article/view/533/556,https://doi.org/10.24338/mip-2022428-434,,,,,Aufsätze,,Deutschland
Lena-Maria Möller,,"Anerkennung und Wirksamkeit islamisch geprägter Eheauflösungen in Europa: Anmerkungen zu OLG München, Beschluss vom 13.03.2018 – 34 Wx 146/14, den Schlussanträgen des EuGH-Generalanwalts Saugmandsgaard Øe vom 14.09.2017 und EuGH, Urteil vom 20.12.2017 – C-372/16 (Soha Sahyouni ./. Raja Mamisch)",,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,1-19,http://zri.gair.de/images/ZRI092017.pdf#page=11,https://mip.pruf.hhu.de/article/view/553/570,https://doi.org/10.24338/mip-20231-19,,,,,Aufsätze,,Deutschland
Kai Kreutzberger & Abir Haddad,,"High Court of England & Wales, Commercial Court: A Ṣukūk al-muḍaraba Structured to Provide a Fixed Return and Alleged to Be Illegal under UAE Law Will not Be Unwound for Illegality – Dana Gas PJSC v Dana Gas Sukuk Limited and others [2017] EWHC 2928 (Comm)",,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,20-44,http://zri.gair.de/images/ZRI092017.pdf#page=19,https://mip.pruf.hhu.de/article/view/554/571,https://doi.org/10.24338/mip-202320-44,,,,,Aufsätze,,Deutschland
Zia Ullah Ranjah,,Supremacy of Parliament in Pakistan,,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,45-57,http://zri.gair.de/images/ZRI092017.pdf#page=37,https://mip.pruf.hhu.de/article/view/555/572,https://doi.org/10.24338/mip-202345-57,,,,,Aufsätze,,Deutschland
Bruno Menhofer,,"Anmerkung zum Beschluss des OLG Hamm, 22.04.2016 – II 3 UF 262/15",,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,58-76,http://zri.gair.de/images/ZRI092017.pdf#page=41,https://mip.pruf.hhu.de/article/view/556/573,https://doi.org/10.24338/mip-202358-76,,,,,Aufsätze,,Deutschland
Bruno Menhofer,,"Anmerkung zum Beschluss des OLG Bamberg, 12.05.2016 – 2 UF 58/16",,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,77-97,http://zri.gair.de/images/ZRI092017.pdf#page=45,https://mip.pruf.hhu.de/article/view/557/574,https://doi.org/10.24338/mip-202377-97,,,,,Aufsätze,,Deutschland
Reik Kirchhof,,Scharia – Lost in Translation. Die Merkmale der Scharia im Lichte einer soziologischen Theorie des Rechts und der normativen Ordnung,,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,98-122,http://zri.gair.de/images/ZRI092017.pdf#page=53,https://mip.pruf.hhu.de/article/view/558/575,https://doi.org/10.24338/mip-202398-122,,,,,Aufsätze,,Deutschland
Serdar Kurnaz,,Creating Meanings. The Constructivist Concept of Interpretation in Islamic Legal Theory from the 4th Century Onwards,,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,123-134,http://zri.gair.de/images/ZRI092017.pdf#page=85,https://mip.pruf.hhu.de/article/view/559/576,https://doi.org/10.24338/mip-2023123-134,,,,,Aufsätze,,Deutschland
Mahmud El-Wereny,,Scharia-Normen im Wandel: Zum Konzept der Fatwa-Wandelbarkeit zwischen Tradition und Moderne,,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,135-162,http://zri.gair.de/images/ZRI092017.pdf#page=103,https://mip.pruf.hhu.de/article/view/560/577,https://doi.org/10.24338/mip-2023135-162,,,,,Aufsätze,,Deutschland
Ahmed Abdeleman A. Ali,,Zum Stand der maqāṣid aš-šarīʿa in den rechtsmethodologischen Überlegungen vor aš-Šāṭibī (gest. 1388),,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,163-165,http://zri.gair.de/images/ZRI092017.pdf#page=125,https://mip.pruf.hhu.de/article/view/561/578,https://doi.org/10.24338/mip-2023163-165,,,,,Kurzbeiträge,,Deutschland
Ahmed Gad Makhlouf,,Zur Mitwirkung von Frauen in den Fiqh-Institutionen,,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,166-178,http://zri.gair.de/images/ZRI092017.pdf#page=137,https://mip.pruf.hhu.de/article/view/562/579,https://doi.org/10.24338/mip-2023166-178,,,,,Rechtsprechung,,Deutschland
Anja Pistor-Hatam & Kerstin von der Decken,,Menschenwürde / Karāma(t): Zur Frage eines möglichen Konsenses in der Menschenrechtsdebatte am Beispiel der Islamischen Republik Iran,,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,179-182,http://zri.gair.de/images/ZRI092017.pdf#page=157,https://mip.pruf.hhu.de/article/view/563/580,https://doi.org/10.24338/mip-2023179-182,,,,,Rechtsprechung,,Deutschland
Tanja Herklotz,,"Walking a Tightrope: Balancing Law, Religion and Gender Equality in the Aftermath of the Indian Supreme Court’s Triple ṭalāq Ban",,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,183-201,http://zri.gair.de/images/ZRI092017.pdf#page=181,https://mip.pruf.hhu.de/article/view/564/581,https://doi.org/10.24338/mip-2023183-201,,,,,Rechtsprechung,,Deutschland
Sylvia Riewendt,,Weibliche Genitalverstümmelung in Ägypten – Kann der Einsatz für mehr Kinderrechte dieser Praxis entgegenwirken?,,Zeitschrift für Recht & Islam,ZRI,,,2023-05-19,202-211,http://zri.gair.de/images/ZRI092017.pdf#page=207,https://mip.pruf.hhu.de/article/view/565/582,https://doi.org/10.24338/mip-2023202-211,,,,,Rechtsprechung,,Deutschland
Fatma El cheikh Hassan,,Außergerichtliche und informelle Eheschließungen zwischen Syrern – die sogenannte Barrānī-Ehe,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=217,,,,,,,,,Deutschland
Lara-Lauren Goudarzi-Gereke,,Zum iranischen Verfassungs- und öffentlichen Wirtschaftsrecht: Auslegung und Umsetzung von Artikel 44 der Verfassung,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=227,,,,,,,,,Deutschland
Maria Haimerl,,Ein Gericht im Ausnahmezustand: das türkische Verfassungsgericht nach dem Putschversuch,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=249,,,,,,,,,Deutschland
Kai Kreutzberger,,Neue Werke zum Recht des islamischen Finanzwesens,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=267,,,,,,,,,Deutschland
Hans-Georg Ebert,,Le Code Marocain de la Famille en Europe. Bilan comparé de dix ans d’application. Sous la direction de Marie-Claire Foblets,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=275,,,,,,,,,Deutschland
Serdar Kurnaz,,Hakki Arslan: Juridische Hermeneutik (usūl al-fiqh) der ḥanafitischen Rechtsschule am Beispiel des uṣūl al-fiqh-Werks Mirqāt al wuṣūl ilā ʾilm al-uṣūl von Mulla Ḫusraw (gest. 885/1480) (Reihe für Osnabrücker Islamstudien Band 25),,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=279,,,,,,,,,Deutschland
Kilian Bälz,,Norbert Oberauer: Islamisches Wirtschafts- und Vertragsrecht. Eine Einführung,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=291,,,,,,,,,Deutschland
Achim-Rüdiger Börner,,"Philipp Stompfe: Die Gestaltung und Sicherung internationaler Investor-Staat-Verträge in der arabischen Welt am Beispiel Libyens und Katars, Studies in International Investment Law 22",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=295,,,,,,,,,Deutschland
Irene Schneider,,Sina Fontana: Universelle Frauenrechte und islamisches Recht,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=299,,,,,,,,,Deutschland
Astrid Meier & Hans-Peter Pökel,,"Conference Report: The Ibāḍiyya in the Context of Early Islamic Theology and Law. International Workshop, Orient-Institut Beirut (27.01.2017)",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=311,,,,,,,,,Deutschland
Katja Rieck,,"Tagungsbericht: Konferenz: Scharia und Grundgesetz, Goethe Universität, Frankfurt am Main (05.05.2017)",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=315,,,,,,,,,Deutschland
Julia Heilen & Mohammad Magout,,"Conference Report: Workshop Muslim Secularities: Explorations into Concepts of Distinction and Practice of Differentiation, Leipzig University, Centre for Advanced Studies in the Humanities and Social Sciences (Kolleg-Forschergruppe, KFG) Multiple Secularities – Beyond the West, Beyond Modernities (18-20.06.2017)",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=327,,,,,,,,,Deutschland
Nijmi Edres,,"Conference Report: Gender and Sharīʾah in Muslim Legal Theory and Practice, Göttingen University (12-14.10.2017)",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=333,,,,,,,,,Deutschland
Peter Göpfrich,,Bericht zur Tagung Wirtschaftsrecht MENA – Aktuell organisiert vom Verein zur Förderung eines Kompetenzzentrums Recht und Wirtschaft der arabischen und islamischen Welt an der Universität Heidelberg – Law and Economics of the Arab and Islamic World (LEA) in Heidelberg (17.11.2017),,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=337,,,,,,,,,Deutschland
Nijmi Edres,,“Understanding Sharia: Past Perfect / Imperfect Present” Project Report,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=347,,,,,,,,,Deutschland
Nijmi Edres,,“Understanding Sharia: Past Perfect / Imperfect Present” Project Report,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=347,,,,,,,,,Deutschland
Peter Göpfrich,,Verein zur Förderung eines Kompetenzzentrums Recht und Wirtschaft der arabischen und islamischen Welt an der Universität Heidelberg – Law and Economics of the Arab and Islamic World (LEA),,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=355,,,,,,,,,Deutschland
,,Impressum,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI092017.pdf#page=363,,,,,,,,,Deutschland
Peter Scholz,,"KG, Beschluss vom 7.4.2015 – Verfahrenskostenhilfe für Antrag auf Zahlung einer Brautgabe",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=9,,,,,,,,,Deutschland
Peter Scholz,,"AG Baden-Baden, Beschluss vom 11.9.2015, in Fortführung von AG Darmstadt, Beschluss vom 15.5.2014 – Sittenwidrigkeit der Vereinbarung auf Zahlung einer Brautgabe für den Ehevollzug",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=13,,,,,,,,,Deutschland
Kirsten Wiese,,"Religionsfreiheit im Lichte der Neutralität. Zu den Entscheidungen des Bundesverfassungsgerichts, des Landesarbeitsgerichts Berlin-Brandenburg, des Verwaltungsgerichts Augsburg und des Europäischen Gerichtshofes zu Musliminnen mit Kopftuch am Arbeitsplatz",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=17,,,,,,,,,Deutschland
Sabine Berghahn,,Kopftuchverbote für Lehrerinnen im Rückblick,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=45,,,,,,,,,Deutschland
Felix Ekardt,,Gerechtigkeit und gutes Leben in der Kopftuchdebatte,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=71,,,,,,,,,Deutschland
Rike Sinder,,Zwischen Logozentrismus und Dekonstruktion. Zur Rolle des istiḥsān im System der uṣūl al- fiqh,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=87,,,,,,,,,Deutschland
Rüdiger Braun,,Textautorität und Dekanonisierung — Zeitgenössische muslimische Zugänge zum säkularen Topos Menschenwürde im Horizont einer historisch sensibilisierten Exegese des Qurʾān,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=109,,,,,,,,,Deutschland
Noha Abdel-Hady,,Das islamrechtliche Genre der themenspezifischen Rechtsliteratur Themenspezifische Rechtsliteratur als gegenwärtiges Phänomen,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=123,,,,,,,,,Deutschland
Serena Tolino,,The Approach to Homosexuality in Contemporary Fatāwā: Sexual Practices or Sexual Orientation?,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=143,,,,,,,,,Deutschland
Elisabeth Trepesch,,Die Debatte über weibliche Genitalverstümmelung in ägyptischen Fatwas des 20. Jahrhunderts,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=161,,,,,,,,,Deutschland
Petra Nendwich,,Rechtswissenschaftliche Argumentationsstrukturen und propagandistische Rhetorik in ʿAbdullāh ʿAzzāms Rechtsgutachten „Die Verteidigung der muslimischen Gebiete ist die oberste individuelle Pflicht“,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=183,,,,,,,,,Deutschland
Sarah Albrecht,,How Islamic Is the West? Recent Approaches to Determining the “Islamicity” and “šarī ʿa Compliance” of Modern States*,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=199,,,,,,,,,Deutschland
Mahmoud Jaraba,,“Paralleljustiz” in Berlin’s Mḥallamī Community in View of Predominately Customary Mechanisms,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=227,,,,,,,,,Deutschland
