Titel,Zeitschrift,Zeitschriftkürzel,Land
Incoterms 2010 – Ein Beispiel für die „neue lex mercatoria“,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Diplomatisches Asyl für Julian Assange?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Indisponibilität statt SittenwidrigkeitÜberlegungen zu BGHSt 49, 166",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die sogenannte „stille SMS“ im strafprozessualen ErmittlungsverfahrenErkenntnisse zum Einsatz in der Praxis und Betrachtung der rechtlichen Anwendungsvoraussetzungen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Zurechnung von Verfahrenshandlungen in Vertragsstaaten der EMRK,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Freistellung und Anrechnung im Rahmen der Arbeitgeberkündigung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Juristische Texte lesen – Hilfestellungen aus öffentlich-rechtlicher Sicht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Zehn Gebote für die Strafrechtsklausur,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Kein Heu im Holzrückebetrieb,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur: Der ehrenwerte Sonnenbankier,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Segeltour mit Folgen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: „Gute Nachbarschaft“,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Examensklausur – Strafrecht: Amoklauf an der Schule,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall Völkerstrafrecht: Recht und Unrecht im Angriffskrieg,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 16.3.2011 – 5 StR 581/10(Verbrechensverabredung im Internet)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 21.12.2011 – 2 StR 295/11(Totschlag durch Unterlassen – Zu den Voraussetzungen einer Rettungspflicht gegenüber einer spontan Drogen konsumierenden Person)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"OLG Bamberg, Beschl. v. 8.3.2012 – 3 Ws 4/12(Täuschung durch Unterlassen)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 20.10.2011 – 4 StR 71/11(Zur strafrechtlichen Vorgesetztenverantwortlichkeit für innerbetriebliche Straftaten zwischen Mitarbeitern)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 29.3.2012 – GSSt 2/11(Strafbarkeit des niedergelassenen Vertragsarztes nach den Korruptionsdelikten des StGB)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 20.6.2012 – VIII ZR 12/12(Umfassende Geltung der kurzen mietrechtlichen Verjährungsfrist)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Artur-Axel Wandtke (Hrsg.), Urheberrecht, 3. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Jan Kropholler, Studienkommentar BGB, 13. Aufl. 2011",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Winfried Kluth, Grundrechte, 2. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Volker Epping/Christian Hillgruber (Hrsg.), Grundgesetz, Kommentar, 2009",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Waldemar Hummer/Christoph Vedder/Stephan Lorenzmeier (Hrsg.), Europarecht in Fällen, 5. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Sabine Gleß, Internationales Strafrecht, 2011; Christoph Safferling, Internationales Strafrecht, 2011",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Gießener Erneuerung des Strafrechts – Reinhard Frank und der Schuldbegriff,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Büchners WoyzeckEine Beschreibung des Täters und der tatbegleitenden Umstände,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Das endgültige Ausbleiben der Leistung als „Zauberformel“ für die Abgrenzung des Schadensersatzanspruchs statt der Leistung vom Schadensersatzanspruch neben der Leistung?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die verloren gegangene Widerrufserklärung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Anspruchsberechtigung beim PflichtteilsergänzungsanspruchAufgabe einer 40-jährigen höchstrichterlichen Rechtsprechung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Normenkontrollen – Teil 1Funktionen und Systematisierung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Einführung: Einbeziehung Dritter in Schuldverhältnisse und Drittschadensliquidation,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Willensfreiheit und das Schuldstrafrecht – eine überflüssige Debatte?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur im Zivilrecht: Künstlerpech,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Störung am Volkstrauertag,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der praktische Fall – Strafrecht: „Von Höllen-Engeln und Banditen“,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Der mutige Mitarbeiter,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"VGH Mannheim, Urt. v. 26.7.2012 – 1 S 2603/11(Gefahrenabwehr und Gefahrenvorsorge)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 6.7.2012 – V ZR 122/11(Zur Sittenwidrigkeit und zeitlichen Obergrenze von schuldrechtlichen Verfügungsverboten)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 22.3.2012 – 4 StR 558/11(Zur „Hemmschwellentheorie“ bei Tötungsdelikten)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 10.1.2012 – 4 StR 632/11(Zur Strafbarkeit des unbemerkten Tankens an Selbstbedienungstankstellen)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 8.11.2011 – 3 StR 316/11(Zum Verhältnis von Raub und räuberischer Erpressung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"OLG Hamm, Beschl. v. 24.5.2011 – III-2 RVs 20/11(Anruf bei der Notrufstelle der Polizei als Spontanäußerung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Sönke Gerhold/Bernd Hoefer/Hege Ingwersen-Stück/Sönke E. Schulz, Formulare für Referendare, 2011",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Max-Emanuel Geis, Examens-Repetitorium Staatsrecht, 2010",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Herbstakademie für junge Juristen 2012 – ein Tagungsbericht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Zur Abgrenzung des Schadensersatzes statt der Leistung vom Schadensersatz neben der Leistung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Systematik der Kündigungsmöglichkeiten im Wohnraummietrecht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Zur Verschränkung von Strafprozess-, Europa- und VerfassungsrechtZugleich Besprechung von LG Aachen StraFo 2010, 190, BGHSt 56, 11 und BVerfG NJW 2012, 1202",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Daumen hoch?! – Die Like-Funktion im sozialen Netzwerk Facebook aus strafrechtlicher Perspektive,Zeitschrift für das Juristische Studium,ZJS,Deutschland
§ 767 ZPO – Eine Gesetzeslektüre und Gesetzeskommentierung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Kurzfälle aus dem Medizinstrafrecht – Teil 1,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Grundprobleme zu § 299 StGBBestechlichkeit und Bestechung im geschäftlichen Verkehr,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Anfängerhausarbeit im Zivilrecht: Übersinnliche Kräfte und trotzdem nichts als Ärger,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur im Zivilrecht: Die neuen Leiden der Frau M,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Examensfall: Der untreue Betreuer,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Zwischenprüfungsklausur Strafrecht: „Handy und Bier“,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur Strafrecht – Der reuige Brandstifter,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"OLG Karlsruhe, Urt. v. 19.7.2012 – 1 (8) Ss 64/12 – AK 40/12(Beleidigung von Polizeibeamten durch Verwendung der Abkürzung „A.C.A.B.“)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 9.5.2012 – IV ZR 1/11(Keine Störung der Geschäftsgrundlage einer Krankenversicherung durch Geschlechtsumwandlung des Versicherungsnehmers)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 18.10.2012 – III ZR 197/11(Keine Staatshaftung wegen rechtswidriger Untersagung des Angebots von Sportwetten)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"VGH BW, Beschl. v. 17.7.2012 – 10 S 406/10(Rechtsschutz gegen Benutzungsregelungen für eine öffentliche Einrichtung durch Polizeiverordnung und durch Allgemeinverfügung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 26.6.2012 – 2 StR 137/12(Subsidiarität der Unterschlagung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 13.6. 2012 - 2 StR 112/12(Protokollverlesung nach Zeugnisverweigerung – Verzicht auf Verwertungsverbot)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Susanne Baer, Rechtssoziologie – Einführung in die interdisziplinäre Rechtsforschung, 2011",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Johann Braun, Einführung in die Rechtsphilosophie, 2. Aufl. 2011",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Legal ClinicInnovatives Studienmodell oder unerlaubte Rechtsberatung?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Impressumspflichten in sozialen Netzwerken,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der Verhältnismäßigkeitsgrundsatz,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Kurzfälle aus dem Medizinstrafrecht – Teil 2,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Gerechtigkeit als Kostenfrage oder Kosten als Gerechtigkeitsfrage?Eine Einführung in die ökonomische Analyse des Rechts,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Stress am Ende des Mietverhältnisses,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Der verfrühte Deckungskauf,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Schwerpunktbereichsklausur Unionsrecht: Nationales Verbot des Online-Vertriebs von Kontaktlinsen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall Strafrecht: Der gierige Arzt,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Referendarexamensklausur: Der Milzriss,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 17.10.2012 – VIII ZR 226/11(Keine Ein- und Ausbaupflicht im Rahmen der Nacherfüllung bei Verträgen zwischen Unternehmern)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Jörg-Dieter Oberrath, Öffentliches Recht, 4. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Andreas v. Arnauld, Völkerrecht, 2012; Klausurenkurs im Völkerrecht, 2. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Thomas Rotsch, Strafrechtliche Klausurenlehre, 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Rechtliche Gerechtigkeit und höhere GerechtigkeitJakob Wassermanns „Fall Maurizius“ und die Unzulänglichkeit der formaljuristischen Rechtsanwendung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die GoA auf der Schnittstelle von realem und hypothetischem Vertrag,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Neue Schale, alter Kern?Der Bereicherungsausgleich nicht autorisierter Überweisungen nach dem neuen Zahlungsverkehrsrecht",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Das Rederecht der Abgeordneten im Deutschen BundestagZu den Grenzen der Einschränkbarkeit der Redefreiheit,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Anlegervertrauen in die Funktionsfähigkeit der Kapitalmärkte als geschütztes Rechtsgut des Kapitalmarktstrafrechtes,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Grundprobleme der Tötungsdelikte – Teil 1,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Praxis- und klausurrelevante Fragen des „Schwarzfahrens“ – Teil 1Von Mehrfachfahrscheinen, Überzeugungstätern und Monatskarten-Schlepperei",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Referendarexamensklausur: Nur Ärger mit den Pferden,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Kunsthandel mit Hindernissen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Examensfall: Und alles für ein bisschen Geld,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BVerfG, Urt. v. 19.3.2013 – 2 BvR 2628/10, 2 BvR 2883/10, 2 BvR 2155/11(Zur Verfassungsgemäßheit der Verständigung im Strafverfahren)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 13.12.2012 – III ZR 226/12(Aufsichtspflichtverletzung und Beweislastumkehr beim Amtshaftungsanspruch)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 21.11.2012 - 2 StR 309/12(Heimtückemord an einem Kleinkind)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 14.2.2012 – 3 StR 392/11(Gewaltsame Wegnahme eines Mobiltelefons ohne deliktsspezifische Absicht)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 29.1.2013 – 2 StR 510/12(Keine Verjährungsunterbrechung bei auf eine Einstellung gemäß § 170 Abs. 2 StPO folgenden Ermittlungen gegen Unbekannt)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Haimo Schack, Urheber- und Urhebervertragsrecht, 6. Aufl.2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Michael Lysander Fremuth, Die Europäische Union auf dem Weg in die Supranationaliät, 2010",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Positivierung des Rückgewährschuldverhältnisses im BGB,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Berufungsverwerfung aufgrund Säumnis des Angeklagten im Lichte der jüngsten Rechtsprechung des EGMR sowie des OLG München,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Grundprobleme der Tötungsdelikte – Teil 2,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Praxis- und klausurrelevante Fragen des „Schwarzfahrens“ – Teil 2Von Mehrfachfahrscheinen, Überzeugungstätern und Monatskarten-Schlepperei",Zeitschrift für das Juristische Studium,ZJS,Deutschland
„The Fast and the Furious“Zur Strafbarkeit von illegalen Autorennen bei Verletzung Unbeteiligter,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungshausarbeit: Eine Tageskarte auf Abwegen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Bielefelder Fenstersturz,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall Staatshaftungsrecht: Jagd auf entlaufene Kühe,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Referendarexamensklausur Öffentliches Recht: Das Schulbetretungsverbot,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Flaschenpfand ohne Pfandflasche,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 12.3.2013 – II ZR 179/12(Zur Nichtigkeit gemäß § 134 BGB des Verpflichtungs- und Erfüllungsgeschäfts bei einem Verstoß gegen § 57 AktG)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 22.1.2013 – 1 StR 416/12(Vollendung des Computerbetruges)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 20.2.2013 – 1 StR 585/12(Sittenwidrigkeit von Körperverletzungen bei verabredeten Auseinandersetzungen rivalisierender Gruppen)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 1.3.2013 – V ZR 92/12(Erwerb eines unterschlagenen Gebrauchtwagens beim Handeln des Veräußerers unter dem Namen des Eigentümers)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Maximilian Haedicke, Patentrecht, 2. Aufl. 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Neuerungen im Außergeschäftsraum- und Fernabsatzwiderrufsrecht – Teil 1,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Strafrechtliche Folgen für den Dopingmittel verabreichenden Arzt,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die herrschende Meinung als ArgumentEin didaktischer Beitrag in historischer und theoretischer Perspektive,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Der naturgetreue OtterCase Study aus dem Gebiet des Marken- und Namensrechts,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur Staatsorganisationsrecht: Präsidiale Privatisierungsprüfung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: The Hangover Part I,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Stadionbesuch mit Folgen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 19.4.2013 – V ZR 47/12(Schadensersatzanspruch des Zessionars wegen Nichterfüllung eines abgetretenen Anspruchs auf Rückgewähr einer Sicherungsgrundschuld)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 25.4.2013 – 4 StR 551/12(Notwehr und Notwehrexzess – Verteidigungswille bei „panikbedingter“ Notwehrüberschreitung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 20.12.2012 – 3 StR 117/12(Zur Verwertbarkeit eines sog. Beinahetreffers)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Jens Adolphsen, Zivilprozessrecht, 3. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Dennis Bock, Wiederholungs- und Vertiefungskurs Strafrecht, Allgemeiner Teil; Besonderer Teil, Nichtvermögensdelikte; Besonderer Teil, Vermögensdelikte, 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Simon Halliday (Hrsg.), An Introduction to the Study of Law, 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Gedanken zur Metamorphose des ZivilrechtsBericht zur Jahrestagung der GJZ vom 4.9.-7.9. 2013 in Bern,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Tagungsbericht: „Studieneingangsphase in der Rechtswissenschaft“Jahrestagung 2013 des Zentrums für rechtswissenschaftliche Fachdidaktik der Fakultät für Rechtswissenschaft der Universität Hamburg am 26./27.3.2013,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Neuerungen im Außergeschäftsraum- und Fernabsatzwiderrufsrecht – Teil 2,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die VerbraucherrechterichtlinieEinfluss auf das deutsche und europäische Rückabwicklungsrecht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Masernparty – Eine strafrechtliche Betrachtung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Mord im deutschen und französischen Strafrecht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Schwerpunktbereichsklausur Arbeitsrecht: Streit um neue Arbeitszeiten,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Examensklausur: Weniger ist nicht immer schlechter,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Schwerpunktbereichsklausur Völkerrecht: Menschenrechtsverletzungen durch eingeladene Soldaten,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Aus dem Ruder gelaufen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall Ordnungswidrigkeitenrecht: Zwei Revoluzzer wider den „gläsernen Menschen“,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 1.8.2013 – VII ZR 6/13(Keine Mängelansprüche bei Schwarzarbeit)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 19.3.2013 – 1 StR 647/12(Rücktritt vom Tötungsversuch bei mehraktigem Tatgeschehen)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 20.3.2013 – 5 StR 344/12(Zur Schadensbemessung beim Eingehungsbetrug)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Heribert Ostendorf, Strafprozessrecht, 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Tim Charchulla/Marcel Welzel, Referendarausbildung in Strafsachen, Stationspraxis – Klausurtechnik – Aktenvortrag, 3. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Compliance E-lliance - Ein neuer Typus praxisorientierter Lehrveranstaltung im virtuellen Hörsaal,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Regelung der elterlichen Sorge nach § 1626a BGB unter Berücksichtigung höchstgerichtlicher Rechtsprechung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Mahnkosten als VerzugsschadenGestaltungsmöglichkeiten und rechtliche Grenzen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der Lebenszyklus politischer Parteien – Eine „evolutionäre“ Einführung in das Parteienrecht – Teil 1/6,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Die rechtmäßige Alternative zur TrunkenheitsfahrtZugleich eine Besprechung von BGH, Beschl. v. 6.12.2012 – 4 StR 369/12",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Vollstreckungsschutz nach § 712 ZPO und einstweilige Einstellung der Zwangsvollstreckung nach § 719 ZPO,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der ärztliche Abrechnungsbetrug,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Steig mir aufs Dach!Übungshausarbeit für Anfänger/Übungsfall für Fortgeschrittene,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur im Zivilrecht: Familie Heininger,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur Baurecht: „Es kann der Brävste nicht in Frieden leben …“,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Hausarbeit Öffentliches Recht: Bahnhofs-Demo mit Hindernissen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Examensübungsklausur: Die streikende Beamtin,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Der falsche Schuldschein,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"OLG Hamm, Urt. v. 29.5.2013 – 12 U 178/12;OLG Karlsruhe, Urt. v. 14.8.2013 – 7 U 63/13(Die Reichweite des Vertrags mit Schutzwirkung zugunsten Dritter)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BVerwG (4. Senat), Urt. v. 20.12.2012 – 4 C 11/11(Europarechtskonforme Auslegung und Anwendung von § 34 Abs. 1 BauGB)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 18.7.2013 – 4 StR 84/13(Rechtsbeugung durch nachträgliche Urteilsergänzung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"OLG München, Beschl. v. 17.6.2013 44 O 344/12(Auskunfts- und Wertermittlungsansprüche des Pflichtteilsberechtigten bei dürftigen Nachlässen)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"OLG Braunschweig, Beschl. v. 20.3.2013 – Ws 49/13(Zum versuchten Totschlag durch Manipulation der Zuteilung von Spenderorganen)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 11.6.2013 - 5 StR 124/13 (Brandstiftungsdelikte und Maßstab der revisionsgerichtlichen Kontrolle)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 27.6.2013 – 3 StR 435/12(Durch Spontanäußerung veranlasste Vernehmung des Verteidigerkonsultation begehrenden Beschuldigten)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Matthias Pechstein, Entscheidungen des EuGH, 7. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Theo Ziegler, Das Strafurteil, 5. Aufl. 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Herbert Diemer/Holger Schatz/Bernd-Rüdeger Sonnen, Jugendgerichtsgesetz mit Jugendstrafvollzugsgesetzen, 6. Aufl. 2011",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Beratungsverträge mit Aufsichtsräten,Bedenken gegen die extensive Auslegung von § 114 AktG",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der Lebenszyklus politischer Parteien – Eine „evolutionäre“ Einführung in das Parteienrecht – Teil 2/6,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Veräußerung der streitbefangenen Sache in der ZPO,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Im Zweifel: Darstellung im BehauptungsstilThesen wider den überflüssigen Gebrauch des Gutachtenstils,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur: Gut gesichert?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: „…und fragen Sie Ihren Arzt oder Apotheker“Zu verfassungs- und unionsrechtlichen Problemen des Fremdbesitzverbots für Apotheken,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall Allgemeines Verwaltungsrecht: Umwege einer Urne,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Geld oder Liebe – eine Frage der Auslegung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Examensfall: Rangeleien auf Bahnsteigen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BVerfG, Beschl. v. 17.9.2013 – 2 BvR 2436/10 u. 2 BvE 6/08 (Beobachtung von Bundestagsabgeordneten durch den Verfassungsschutz)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 21.8.2013 – 1 StR 449/13 (Notwehrlage und Erlaubnistatumstandsirrtum: „Schwitzkasten mit Todesfolge“)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 5.9.2013 – 1 StR 162/13 (Nötigung durch anwaltliches Mahnschreiben)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 21.8.2013 – 1 StR 332/13 (Konkurrenzverhältnis zwischen schwerem Bandendiebstahl und Sachbeschädigung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Torsten Kaiser/Thomas Köster/Robert Seegmüller, Materielles öffentliches Recht im Assessorexamen, 2. Aufl., 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Rudolf Rengier, Strafrecht, Allgemeiner Teil, 5. Aufl., 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Christian Jäger, Examens-Repetitorium Strafrecht, Allgemeiner Teil, 6. Aufl., 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Florian Jeßberger/Julia Geneuss (Hrsg.), Zehn Jahre Völkerstrafgesetzbuch, Bilanz und Perspektiven eines „deutschen Völkerstrafrechts“, 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Klaus Tiedemann, Wirtschaftsstrafrecht, Einführung und Allgemeiner Teil, 4. Aufl., 2014",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Armin Engländer, Examens-Repetitorium Strafprozessrecht, 6. Aufl., 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
